route	methods	auth_check	cron_check	sig_check
portal/track-view/route.ts	POST	-	-	-
contract-analyzer/analyze/route.ts	POST	yes	-	-
project-estimates/coach/route.ts	POST	yes	-	-
project-estimates/[id]/route.ts	DELETE,PATCH	yes	-	-
project-estimates/stats/route.ts	GET	yes	-	-
calendar/token/route.ts	GET,POST	yes	-	-
calendar/export/route.ts	GET	yes	-	-
emergency-fund/snapshots/route.ts	DELETE,POST	yes	-	-
emergency-fund/advice/route.ts	POST	yes	-	-
generated-contracts/[id]/route.ts	DELETE,GET,PATCH	yes	-	-
meeting-notes/route.ts	GET,POST	yes	-	-
recurring-tasks/[id]/route.ts	DELETE,GET,PATCH	yes	-	-
payments/webhook/route.ts		-	-	-
payments/status/route.ts	GET	-	-	-
payments/checkout/route.ts	POST	yes	-	-
payments/portal-checkout/route.ts	POST	-	-	-
scenario-planner/calculate/route.ts	POST	-	-	-
scenario-planner/advice/route.ts	POST	yes	-	-
scenario-planner/[id]/route.ts	DELETE,PATCH	yes	-	-
scope-estimator/history/route.ts	DELETE,GET	yes	-	-
scope-estimator/estimate/route.ts	POST	yes	-	-
retainer-dashboard/log-hours/route.ts	POST	yes	-	-
retainer-dashboard/history/route.ts	GET	yes	-	-
networking-events/[id]/route.ts	DELETE,PATCH	yes	-	-
networking-events/stats/route.ts	GET	yes	-	-
contact/[username]/route.ts	POST	-	-	-
schedule/preferences/route.ts	GET,POST	yes	-	-
schedule/analysis/route.ts	GET	yes	-	-
schedule/optimize/route.ts	POST	yes	-	-
tools/welcome-kit/route.ts	POST	yes	-	-
tools/bio-generator/route.ts	POST	yes	-	-
tools/brand-audit/route.ts	POST	yes	-	-
tools/proposal-scorer/route.ts	POST	yes	-	-
tools/headline-generator/route.ts	POST	yes	-	-
tools/contract-clauses/route.ts	GET,POST	yes	-	-
tools/contract-review/route.ts	POST	yes	-	-
tools/scope-estimator/route.ts	POST	yes	-	-
tools/objection-handler/route.ts	POST	yes	-	-
tools/pricing-optimizer/route.ts	GET,POST	yes	-	-
tools/status-update/route.ts	POST	yes	-	-
tools/performance-review/route.ts	POST	yes	-	-
tools/contract-generator/route.ts	GET,POST	yes	-	-
niche-packages/route.ts	GET,POST	yes	-	-
skills-gap/route.ts	DELETE,GET,POST	yes	-	-
contractors/route.ts	GET,POST	yes	-	-
handoffs/route.ts	DELETE,GET,PATCH,POST	yes	-	-
job-opportunities/route.ts	GET,POST	yes	-	-
notifications/route.ts	GET	yes	-	-
rate-card/route.ts	GET,POST	yes	-	-
reminders/route.ts	DELETE,GET,PATCH,POST	yes	-	-
win-rate/route.ts	GET,PATCH	yes	-	-
email/route.ts	POST	yes	-	-
burnout/route.ts	DELETE,GET,POST	yes	-	-
cash-flow-forecast/route.ts	GET	yes	-	-
onboarding/route.ts	GET,POST	yes	-	-
project-pnl/route.ts	GET	yes	-	-
booking-pages/route.ts	GET,POST	yes	-	-
communications/route.ts	DELETE,GET,PATCH,POST	yes	-	-
proposals/route.ts	GET,POST	yes	-	-
business-plan/route.ts	GET,POST	yes	-	-
professional-bios/route.ts	DELETE,GET,PATCH,POST	yes	-	-
analytics/route.ts	GET	yes	-	-
client-rfm/route.ts	GET	yes	-	-
project-labels/route.ts	GET,POST	yes	-	-
projects-list/route.ts	GET	yes	-	-
invoice-items-library/route.ts	GET,POST	yes	-	-
milestones/route.ts	DELETE,GET,PATCH,POST	yes	-	-
onboarding-kits/route.ts	DELETE,GET,POST	yes	-	-
retainer-agreements/route.ts	GET,POST	yes	-	-
project-updates/route.ts	GET,POST	yes	-	-
portfolio/route.ts	GET,POST	yes	-	-
surveys/route.ts	GET,POST	yes	-	-
availability/route.ts	DELETE,GET,POST	yes	-	-
income-forecast/route.ts	GET	yes	-	-
templates/route.ts	GET,POST	yes	-	-
project-handoffs/route.ts	GET,POST	yes	-	-
rate-negotiation/route.ts	GET	yes	-	-
follow-ups/route.ts	GET	yes	-	-
annual-report/route.ts	GET	yes	-	-
rate-calculator/route.ts	DELETE,GET,POST	yes	-	-
keys/route.ts	GET,POST	yes	-	-
monthly-review/route.ts	GET	yes	-	-
invoice-pdf-templates/route.ts	GET,POST	yes	-	-
certifications/route.ts	GET,POST	yes	-	-
sla/route.ts	GET,POST	yes	-	-
mrr/route.ts	GET,POST	yes	-	-
invoice-branding/route.ts	GET,PATCH	yes	-	-
skills/route.ts	DELETE,GET,PATCH,POST	yes	-	-
payment-schedules/route.ts	GET,POST	yes	-	-
invoice-payments/route.ts	DELETE,GET,POST	yes	-	-
documents/route.ts	GET,POST	yes	-	-
tools/social-content/route.ts	POST	yes	-	-
tools/email-reply/route.ts	POST	yes	-	-
tools/handoff/route.ts	GET,POST	yes	-	-
tools/meeting-agenda/route.ts	POST	yes	-	-
tools/learning/route.ts	DELETE,GET,POST	yes	-	-
tools/linkedin-post/route.ts	POST	yes	-	-
tools/reactivation/route.ts	POST	yes	-	-
tools/sow/route.ts	GET,POST	yes	-	-
tools/email-sequences/route.ts	GET,POST	yes	-	-
tools/project-risk/route.ts	POST	yes	-	-
tools/skill-gap/route.ts	POST	yes	-	-
tools/email-composer/route.ts	POST	yes	-	-
tools/twitter-thread/route.ts	POST	yes	-	-
tools/negotiation-coach/route.ts	POST	yes	-	-
tools/icp/route.ts	POST	yes	-	-
tools/client-brief/route.ts	POST	yes	-	-
tools/upsell/route.ts	POST	yes	-	-
tools/rate-increase/route.ts	GET,POST	yes	-	-
tools/discovery-call/route.ts	POST	yes	-	-
tools/late-fee-notice/route.ts	POST	yes	-	-
tools/pitch-deck/route.ts	GET,POST	yes	-	-
tools/price-increase/route.ts	POST	yes	-	-
tools/rfp-analyzer/route.ts	POST	yes	-	-
tools/market-rates/route.ts	POST	yes	-	-
tools/complexity-estimator/route.ts	POST	yes	-	-
tools/tax-estimate/route.ts	GET	yes	-	-
tools/cold-outreach/route.ts	POST	yes	-	-
tools/rate-negotiation/route.ts	POST	yes	-	-
tools/rate-calculator/route.ts	GET,PATCH	yes	-	-
tools/late-payment/route.ts	POST	yes	-	-
tools/retainer-proposal/route.ts	POST	yes	-	-
tools/proposal-followup/route.ts	POST	yes	-	-
niche-research/analyze/route.ts	POST	yes	-	-
niche-research/[id]/route.ts	DELETE,GET	yes	-	-
faq/public/route.ts	GET	-	-	-
faq/generate/route.ts	POST	yes	-	-
